"ID","t","assess.num","assess.start","assess.stop","assess.status","x","z","v"
1,0.613466575881567,1,0,0.756159150355996,1,-0.663772636950006,-0.205560829998373,-1.6949397055239
1,0.613466575881567,2,0.756159150355996,2.52476663492392,1,-0.663772636950006,-0.205560829998373,-1.6949397055239
1,0.613466575881567,3,2.52476663492392,3.36441188290582,1,-0.663772636950006,-0.205560829998373,-1.6949397055239
1,0.613466575881567,0,3.36441188290582,4,0,-0.663772636950006,-0.205560829998373,-1.6949397055239
2,1.29202613889409,1,0,0.0536842743159746,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,2,0.0536842743159746,0.106800368195921,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,3,0.106800368195921,0.138375741584338,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,4,0.138375741584338,0.588458873661078,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,5,0.588458873661078,0.726421311843732,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,6,0.726421311843732,1.66219936083176,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,7,1.66219936083176,2.84930285598379,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,8,2.84930285598379,2.90720315276119,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,9,2.90720315276119,3.17159805370777,1,-0.926098398728111,-0.179973060799538,0.323298841444124
2,1.29202613889409,0,3.17159805370777,4,0,-0.926098398728111,-0.179973060799538,0.323298841444124
3,1.14920954083391,1,0,0.152781290998414,1,-0.590892883473926,-0.0972996372265002,-0.0763425355939972
3,1.14920954083391,2,0.152781290998414,0.598068406705772,1,-0.590892883473926,-0.0972996372265002,-0.0763425355939972
3,1.14920954083391,3,0.598068406705772,1.76145643396005,1,-0.590892883473926,-0.0972996372265002,-0.0763425355939972
3,1.14920954083391,4,1.76145643396005,3.95640640358522,1,-0.590892883473926,-0.0972996372265002,-0.0763425355939972
3,1.14920954083391,0,3.95640640358522,4,0,-0.590892883473926,-0.0972996372265002,-0.0763425355939972
4,3.13739237972418,1,0,0.587390143931218,1,-2.1442598395531,-1.76482322619219,0.866992967862092
4,3.13739237972418,2,0.587390143931218,1.36388193344866,1,-2.1442598395531,-1.76482322619219,0.866992967862092
4,3.13739237972418,3,1.36388193344866,1.56948652952312,1,-2.1442598395531,-1.76482322619219,0.866992967862092
4,3.13739237972418,4,1.56948652952312,1.90233083489684,1,-2.1442598395531,-1.76482322619219,0.866992967862092
4,3.13739237972418,5,1.90233083489684,2.18504160811806,1,-2.1442598395531,-1.76482322619219,0.866992967862092
4,3.13739237972418,6,2.18504160811806,2.76405631655009,1,-2.1442598395531,-1.76482322619219,0.866992967862092
4,3.13739237972418,7,2.76405631655009,3.19686614013223,1,-2.1442598395531,-1.76482322619219,0.866992967862092
4,3.13739237972418,0,3.19686614013223,4,0,-2.1442598395531,-1.76482322619219,0.866992967862092
5,1.43863458583316,1,0,0.126165868382235,1,0.258923060350376,0.0612461483086236,-1.8079369933321
5,1.43863458583316,2,0.126165868382235,0.392897523867798,1,0.258923060350376,0.0612461483086236,-1.8079369933321
